data;usuario;nome;tweet;reply_user_id;reply_to_screen_name
2020-10-08 23:59:20;859932459659665412;Froiddekonoha;RT @GalugKawaii: Qual a diferença entre jogo do bicho e bolsa de valores?;;
2020-10-08 23:59:14;899805228391956480;niloftcunha;"@RaphaFigueredo Ibov subindo +2,50% e Santos Brasil caindo -0,50%

E olha que não para de sair notícias positivas sobre a empresa. Mas sou resiliente, essa semana comprei mais!";68666308;RaphaFigueredo
2020-10-08 23:59:03;4696969166;rodrigoelemesmo;RT @deesalcris: @telmachristiane É não minha gente, é porque de fato vai revolucionar o mercado e vai dar menos trabalho pra eles, em vez d…;;
2020-10-08 23:58:58;334697738;helnerts;RT @GalugKawaii: Qual a diferença entre jogo do bicho e bolsa de valores?;;
2020-10-08 23:58:44;14243035;PvreHaavok;"RT @falaaiFelipe: @GalugKawaii jogo do bicho:
- ensina a fauna pras criança
- é honesto
- todo bar decente tem um POSTO do referido jogo

b…";;
2020-10-08 23:58:44;1254397721181593602;BodhiOvertheedg;"1º Princípio: entre vendido no IBOV a 63K pontos.
2º Princípio: compre IBOV a 100K pontos. https://t.co/eAZdBWVk7j";;
2020-10-08 23:58:03;1382049384;beregmaciel;RT @hbredda: Não sei o nome da doença. Vou chamar de síndrome da hiperatividade compulsiva na renda variável. Sintomas: checagens frenética…;;
2020-10-08 23:57:46;716715471148552193;hbredda;Não sei o nome da doença. Vou chamar de síndrome da hiperatividade compulsiva na renda variável. Sintomas: checagens frenéticas de preços, gastos altos c/ corretagens e distanciamento progressivo entre o indivíduo e a cia, até esquecer q a ação é uma fatia patrimonial da empresa. https://t.co/lsOC5DLfGN;;
2020-10-08 23:56:36;1001195068588527616;hussfo_;"jogo do bicho ainda é emocionante e tem sinceridade 

na bolsa de valores so ficam os veiaco falando ""ouh jeffrey traga o meu vinho lepupu 50 anos enquanto eu falo com o ferdinand hahaha"" https://t.co/QSrVsarbLc";;
2020-10-08 23:55:59;131946607;eufebolivar;A cota do açaí vai estar altíssima na bolsa de valores amanhã 🤣🤣🤣🤣 #empauta @GloboNews;;
2020-10-08 23:54:47;1266048666521022469;lindo52300472;RT @lindo52300472: se a esquerdalha chama o bolsonaro de autoritarista entao peço que os esquerdopatas me expliquem porque o bolsonaro torc…;;
2020-10-08 23:54:42;82998448;jullisol;@LucasEpifanio90 ai eu já não sei, mas acho q sim pq é um trem do banco central né;3221477303;LucasEpifanio90
2020-10-08 23:54:04;118742528;nariccio;RT @GalugKawaii: Qual a diferença entre jogo do bicho e bolsa de valores?;;
